scientific,common,distribution,type,status,migratory,states
"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",10 to <30%,Mammal,Vulnerable,,"ACT, NSW, Qld"
Pseudomugil mellis,Honey Blue-eye,10 to <30%,Fish,Vulnerable,,Qld
Pseudomys fumeus,"Smoky Mouse, Konoom",10 to <30%,Mammal,Endangered,,"ACT, NSW, SA, Vic"
Pseudophryne corroboree,Southern Corroboree Frog,10 to <30%,Frog,Critically Endangered,,NSW
Pseudophryne pengilleyi,Northern Corroboree Frog,10 to <30%,Frog,Critically Endangered,,"ACT, NSW"
Pteropus poliocephalus,Grey-headed Flying-fox,10 to <30%,Mammal,Vulnerable,,"ACT, NSW, Qld, SA, Vic"
Rhipidura rufifrons,Rufous Fantail,10 to <30%,Bird,,Listed,"ACT, NSW, NT, Qld, Vic, WA"
Symposiachrus trivirgatus,Spectacled Monarch,10 to <30%,Bird,,Listed,"NSW, Qld"
Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",10 to <30%,Frog,Critically Endangered,,Qld
Thaumatoperla alpina,Alpine Stonefly,10 to <30%,Insect,Endangered,,Vic
Wollumbinia belli,"Bell's Turtle, Western Sawshelled Turtle, Namoi River Turtle, Bell's Saw-shelled Turtle",10 to <30%,Reptile,Vulnerable,,"NSW, Qld"
